 1199 -2918 1457     -13 115 -8     -7 8 -10 
 1137 -2605 -1860     159 -373 -265     -10 24 14 
 -34 -1139 -2680     -3 -162 -383     0 10 26 
 2205 -1859 -418     318 -263 -57     -23 19 9 
 2263 -885 731     323 -127 101     -19 10 -7 
 747 -1743 -2548     107 -251 -360     -8 19 28 
 -2858 -1478 -787     -404 -214 -111     31 16 10 
 -2627 342 956     -375 45 136     26 -6 -12 
 -2234 2105 357     -319 303 51     19 -20 -4 
 1027 -2032 1325     153 -292 186     -7 20 -9 
 1283 -1286 2609     185 -183 373     -10 7 -23 
 1360 1947 2379     197 277 339     -17 -15 -23 
 -860 -679 2987     -122 -97 427     3 9 -24 
 -1647 2787 -244     -232 401 -37     17 -30 1 
 837 3170 1198     119 454 170     -4 -24 -11 
 1266 -1460 2161     179 -200 308     -14 10 -21 
 1648 1562 -2437     235 226 -350     -14 -12 24 
 -570 2209 -1513     -85 316 -215     1 -21 20 
 330 -2321 -199     47 -329 -28     -3 24 4 
 -2067 1180 1813     -299 169 263     20 -8 -15 
 -78 -2126 2288     -5 -307 321     -2 21 -25 
 -1626 281 1926     -232 40 277     23 3 -20 
 -235 3009 -77     -32 428 -16     1 -26 1 
 -345 3015 279     -52 430 42     0 -21 -1 
 2896 -2028 -978     416 -288 -138     -32 20 9 
 -3125 -612 759     -449 -87 108     31 5 -12 
 2888 2 384     414 0 57     -32 1 -6 
 -731 1698 2115     -106 244 305     7 -13 -21 
 2036 -736 -1453     294 -107 -208     -20 6 11 
 1652 -2222 234     236 -319 33     -18 15 -3 
 -515 -3243 235     -72 -462 30     3 33 1 
 7 -2446 2313     -3 -346 330     4 28 -21 
 1566 2106 1297     223 298 187     -13 -21 -15 
 2773 -241 -1939     393 -34 -277     -23 3 19 
 -1981 -951 1585     -286 -137 221     20 8 -18 
 -14 2752 627     -2 392 88     2 -21 -6 
 -2752 -498 2256     -393 -70 317     27 1 -23 
 -2795 -853 -603     -406 -121 -86     25 5 2 
 631 -2038 -1425     90 -293 -206     -4 20 12 
 125 2224 1993     18 316 291     4 -21 -25 
 -2231 489 -1563     -322 70 -224     23 -3 15 
 -2139 746 -1996     -302 109 -279     21 -5 18 
 992 -1201 -2833     145 -172 -408     -8 15 24 
 -1702 -2598 -45     -247 -371 -5     17 28 -2 
 -2590 -960 482     -369 -137 68     28 7 2 
 3216 -233 416     461 -31 61     -34 6 -4 
 -1121 692 2728     -162 101 391     13 -8 -27 
 -2671 -146 2193     -383 -24 313     22 -3 -22 
 763 -241 -3416     107 -32 -482     -9 -2 33 
 -671 -3065 126     -94 -437 16     13 31 -4 
 564 -2454 1713     75 -350 244     -5 24 -17 
 -1735 -2340 -460     -247 -334 -62     14 23 4 
 6 -2515 1136     0 -359 163     0 26 -10 
 2952 -18 724     424 1 103     -33 2 -9 
 -1425 729 2352     -206 107 337     17 -7 -23 
 -2551 -193 -2026     -365 -31 -289     25 3 17 
 1329 -2258 -1434     189 -322 -206     -18 18 14 
 1211 2337 -829     173 332 -120     -15 -20 8 
 -1528 -2029 2196     -218 -290 315     18 18 -19 
 2764 2067 855     391 290 119     -23 -16 -7 
 50 -2547 1000     8 -363 140     -1 27 -10 
 -1843 -740 -2538     -258 -105 -364     20 8 24 
 2901 -143 -287     416 -19 -40     -32 -3 3 
 -745 3115 -349     -111 448 -51     7 -34 -3 
 1591 264 -2030     222 37 -288     -16 -6 19 
 166 -48 3636     23 -10 516     -1 2 -30 
 319 1678 -2277     46 237 -320     0 -18 23 
 -2171 614 -1695     -310 87 -242     21 -4 11 
 -1126 665 -2761     -157 93 -392     14 -6 29 
 1741 2247 1663     246 324 234     -17 -16 -20 
 1650 -1865 -1148     236 -268 -164     -17 14 11 
 319 -1899 -1553     45 -274 -219     0 18 12 
 -319 321 -3639     -42 45 -518     5 0 31 
 -863 -2811 20     -123 -397 4     9 31 -2 
 2645 -31 542     373 -5 73     -23 1 -4 
 -228 -1990 2353     -35 -287 336     5 22 -21 
 3382 828 -998     482 123 -143     -35 -9 7 
 -681 -2015 -1438     -89 -285 -208     6 19 12 
 -2127 -1613 -1494     -308 -234 -212     19 16 11 
 65 2762 -1780     9 395 -254     2 -26 17 
 -798 -2143 754     -112 -311 104     12 25 -10 
 1936 1826 927     277 263 131     -15 -20 -10 
 -720 -1926 -1387     -103 -275 -198     8 16 11 
 -2584 -1286 524     -371 -180 74     28 15 -9 
 286 -3580 426     39 -510 60     0 34 -7 
 -1940 -1873 -414     -277 -269 -56     19 14 6 
 2631 -809 -1547     376 -116 -229     -30 10 16 
 673 2160 -1825     102 308 -257     -4 -23 17 
 2169 -2413 -1194     307 -344 -170     -20 25 16 
 603 -3052 -393     89 -434 -53     -11 33 1 
 -1690 1909 1134     -241 272 169     15 -18 -15 
 -623 1217 1954     -93 172 275     10 -16 -15 
 -1697 -316 2170     -242 -45 310     20 -3 -19 
 -1516 2344 1308     -216 333 185     18 -20 -17 
 1853 -1625 701     261 -229 105     -20 19 -4 
 1542 -522 -2138     220 -70 -305     -20 8 20 
 -1835 -1148 -887     -257 -165 -126     22 13 5 
 3238 -2064 302     460 -292 47     -32 20 0 
 1003 -2638 -162     146 -372 -23     -10 26 5 
 -2709 1375 804     -385 196 120     24 -9 -9 
 -184 555 2572     -30 79 367     1 0 -29 
 -754 2751 -299     -110 393 -47     9 -28 2 
 2362 713 -1616     332 104 -227     -23 -7 15 
 254 732 -2598     38 104 -368     -8 -7 19 
 -2364 -799 1470     -344 -112 211     23 7 -16 
 2519 1937 -284     360 274 -40     -32 -22 3 
 2368 828 -1323     333 118 -182     -27 -5 12 
 -1443 -1799 2182     -204 -257 310     18 22 -23 
 -2230 320 1535     -319 47 219     21 -1 -15 
 -2176 1006 1711     -314 138 241     15 -10 -17 
 -2359 -1764 735     -341 -252 107     20 19 -6 
 -2255 2133 478     -318 303 67     21 -23 -4 
 1838 2021 -2030     262 293 -291     -22 -22 24 
 676 2730 -1581     98 391 -222     -7 -25 18 
 1654 1705 1873     233 240 270     -20 -22 -18 
 2899 -1228 -768     414 -171 -110     -29 10 12 
 -1106 -2603 -1038     -160 -376 -152     13 33 10 
 -2486 -1591 1417     -352 -223 202     23 14 -15 
 -224 -2723 405     -31 -392 57     -4 30 -2 
 -990 -385 2834     -141 -51 401     11 1 -30 
 2393 -1847 -12     343 -271 -1     -24 18 0 
 897 -1971 2676     126 -282 379     -11 19 -26 
 -1382 828 2465     -197 118 354     12 -11 -24 
 2715 -636 -95     383 -92 -10     -23 5 2 
 -1672 1496 1384     -238 215 196     13 -12 -8 
 -695 2864 430     -96 408 66     13 -28 -9 
 -890 2879 152     -128 419 18     11 -25 -1 
 1150 854 2388     160 127 344     -10 -10 -23 
 -1328 304 2387     -189 44 346     19 0 -20 
 1911 1030 2606     274 147 372     -21 -5 -22 
 -153 1935 1425     -17 277 204     -6 -18 -15 
 -563 -39 -3152     -85 -5 -449     4 0 31 
 1376 -434 2342     194 -58 337     -11 7 -24 
 1328 -3274 1577     188 -464 224     -13 32 -11 
 -1483 2780 842     -211 394 122     14 -27 -4 
 -2579 -50 157     -368 -5 18     22 0 -2 
 -2233 -1101 1703     -326 -156 244     23 11 -19 
 1576 -2527 660     225 -364 94     -14 29 -6 
 -920 -2797 -447     -128 -399 -63     7 22 4 
 -2430 2192 873     -347 313 128     25 -21 -11 
 616 2820 -591     84 402 -86     -5 -28 5 
 -544 -1235 2995     -78 -179 428     6 12 -29 
 -2103 152 1778     -297 15 262     21 2 -18 
 1499 276 3011     213 37 435     -14 -7 -31 
 -1913 2443 611     -270 345 87     15 -24 -4 
 -398 2956 72     -56 417 10     1 -31 5 
 -1863 1996 -1348     -266 285 -195     18 -15 14 
 -2302 -248 1303     -325 -38 181     17 1 -17 
 -591 -341 2548     -89 -52 364     4 5 -27 
 906 -1426 -2591     129 -206 -368     -7 14 19 
 -1733 -1479 1564     -251 -213 222     18 9 -13 
 2526 1103 78     357 157 11     -24 -9 -2 
 745 1626 2823     111 228 409     -6 -17 -23 
 -818 43 -2240     -118 11 -320     13 1 25 
 1837 993 1492     260 148 213     -17 -10 -16 
 -1099 1353 -2333     -162 193 -333     8 -9 22 
 467 2292 2372     66 332 340     -10 -18 -20 
 2035 1594 -773     290 227 -112     -18 -8 9 
 1663 -1377 1996     237 -196 283     -20 14 -16 
 -1151 1892 1053     -163 270 143     8 -21 -9 
 -1985 -1355 -1070     -283 -192 -151     22 10 9 
 880 -1024 -2847     121 -146 -401     -6 10 37 
 -2506 -941 -1276     -359 -141 -182     25 14 14 
 448 -3321 -1237     65 -469 -174     -4 31 10 
 1082 -384 2456     154 -55 343     -4 1 -21 
 583 -1175 2602     80 -167 370     -5 8 -26 
 -2143 1051 -2228     -306 150 -321     16 -11 26 
 -1351 1113 2530     -195 156 360     16 -11 -23 
 1289 2415 1068     186 345 157     -13 -31 -9 
 1829 -441 -2369     261 -59 -331     -20 4 25 
 -1181 2801 -1204     -168 406 -169     11 -25 15 
 1789 111 2716     253 16 391     -12 -1 -28 
 1188 -2396 -1168     173 -343 -166     -18 21 11 
 -624 -2348 1872     -87 -331 263     6 23 -17 
 974 2046 1600     141 293 228     -10 -20 -20 
 1087 -3 2753     157 4 393     -10 1 -31 
 -1696 2565 1439     -242 365 200     15 -21 -14 
 -2139 1264 1625     -308 186 239     21 -16 -17 
 -808 -2806 706     -116 -402 100     10 31 -7 
 -3344 -671 -1309     -477 -89 -186     31 4 12 
 -3120 -1016 -1164     -445 -145 -169     33 9 11 
 -392 1935 -1765     -54 277 -256     7 -20 20 
 -2772 50 -724     -398 7 -103     22 -2 1 
 -1135 909 -2293     -162 123 -325     11 -2 17 
 -2854 -66 -601     -402 -8 -82     29 -3 6 
 1651 760 1457     233 111 209     -16 -9 -14 
 -1771 -1151 -2641     -254 -160 -378     17 14 27 
 -1065 -2133 -2022     -152 -309 -293     12 24 14 
 1476 2335 -246     211 333 -32     -7 -22 0 
 -1903 461 2772     -268 58 396     21 -2 -25 
 765 -2802 769     112 -398 106     -3 33 -5 
 -3176 954 -234     -450 133 -36     29 -9 3 
 2177 -558 -2053     316 -78 -293     -21 5 19 
 394 1915 -2164     59 277 -313     -5 -20 21 
 1111 2949 1071     155 421 153     -10 -29 -12 
 -1787 102 2329     -254 13 332     14 -3 -20 
 -1253 -2502 -882     -176 -356 -124     15 24 7 
 1524 2539 -1037     216 362 -148     -15 -21 5 
 1881 745 2344     266 106 334     -14 -5 -24 
 -824 2492 1274     -117 355 187     2 -27 -11 
 -2672 -391 -718     -377 -60 -103     26 2 7 
 1706 -2502 613     248 -357 87     -19 23 -9 
 2838 442 349     400 63 52     -33 -4 -3 
 271 1719 -2620     42 245 -371     -5 -23 22 
 -1158 -1793 1596     -165 -258 225     6 10 -14 
 2491 -195 -2133     353 -23 -304     -22 -4 21 
 -119 2896 -1592     -14 413 -227     -2 -25 14 
 886 -685 2791     130 -97 398     -8 6 -26 
 1066 -2652 1270     152 -374 179     -10 28 -19 
 2080 1437 -1544     290 206 -216     -23 -15 15 
 1863 410 2408     270 56 345     -18 -4 -18 
 -524 3071 96     -74 436 11     7 -33 -4 
 580 -948 -2576     88 -133 -367     -12 11 22 
 -1103 1711 1858     -154 246 264     11 -15 -16 
 607 -2998 -745     79 -428 -101     -11 33 7 
 -1900 -1037 -1936     -269 -150 -275     16 12 15 
 -1155 -491 -2983     -164 -71 -431     11 -2 30 
 -2544 887 -742     -363 124 -109     23 -6 9 
 -731 2162 -1216     -102 311 -170     7 -19 16 
 -2202 -1939 1089     -320 -277 157     25 20 -10 
 -28 1561 2087     2 223 300     0 -16 -20 
 -1911 -1149 -1625     -271 -165 -230     15 10 12 
 -2869 -1090 310     -414 -155 49     26 15 -1 
 -695 -2254 -1859     -100 -321 -266     11 26 13 
 -2840 -674 1527     -405 -95 220     28 0 -17 
 -647 2949 1149     -91 421 164     8 -32 -11 
 2811 -1286 624     400 -179 89     -29 12 -3 
 1281 -380 -2752     182 -55 -391     -16 8 24 
 -2162 -1503 -1690     -306 -212 -240     21 15 14 
 2629 761 206     373 108 34     -27 -7 -7 
 -2021 620 2109     -288 90 301     20 -12 -22 
 -368 -2701 -164     -52 -380 -20     6 21 2 
 421 -3240 -681     60 -463 -96     -5 30 6 
 1919 -2148 -570     273 -304 -84     -24 24 5 
 1869 91 2715     264 13 389     -17 -5 -28 
 653 2752 1283     91 393 186     -3 -26 -15 
 -1085 -2377 -504     -155 -343 -71     10 23 4 
 2790 -724 -1756     400 -103 -250     -27 7 20 
 2362 670 1049     341 95 149     -22 -6 -10 
 -3223 261 -688     -459 42 -99     29 3 6 
 -968 2692 726     -135 386 100     9 -27 -6 
 763 -873 3032     108 -128 433     -7 11 -30 
 -397 -2950 -1235     -54 -417 -179     -1 30 13 
 2644 506 2319     370 68 328     -25 -5 -21 
 226 1558 2032     28 223 290     -2 -18 -18 
 -96 -2863 420     -8 -411 59     2 29 -1 
 2753 -521 644     389 -74 94     -25 4 -6 
 -2535 604 1696     -363 84 240     23 -5 -16 
 -1475 -1868 -1676     -211 -271 -235     13 20 20 
 2257 -411 1855     326 -61 264     -19 -2 -19 
 2632 1836 822     376 266 120     -30 -16 -8 
 -1695 1905 -1631     -243 272 -238     14 -27 18 
 -1726 1459 -2018     -246 211 -289     22 -17 23 
 2307 2175 489     328 312 67     -23 -20 -6 
 -1861 2174 -527     -269 313 -75     18 -24 5 
 -208 1185 2569     -28 169 371     -1 -10 -25 
 -1923 -300 2216     -271 -48 315     19 8 -22 
 -428 3024 -1181     -61 432 -171     3 -34 14 
 549 -2670 -461     73 -387 -65     -5 26 3 
 -1556 326 -2238     -221 43 -316     10 -3 27 
 -598 -3422 -454     -86 -488 -64     1 35 4 
 2143 -443 1333     302 -66 193     -20 8 -11 
 286 231 2772     40 35 396     -7 -1 -30 
 362 -2668 9     51 -379 1     -1 27 0 
 1015 -2626 -85     142 -376 -11     -13 33 -2 
 -709 904 2451     -103 130 350     5 -8 -27 
 2081 408 -1170     298 58 -166     -15 -7 11 
 -482 -2973 -1081     -69 -420 -151     2 31 9 
 -818 -74 -2792     -118 -10 -402     14 -3 32 
 2999 -87 -960     427 -14 -136     -31 3 6 
 2885 -1265 -374     409 -181 -53     -29 12 3 
 -1572 2938 16     -221 415 0     12 -30 0 
 -2424 -669 -1204     -342 -92 -175     21 8 17 
 -1215 1266 -2099     -173 176 -300     14 -7 21 
 -202 -3331 202     -33 -475 25     -1 36 1 
 935 2601 -482     133 370 -68     -12 -26 4 
 -1796 -2630 -1179     -260 -374 -168     20 24 10 
 -1532 -596 -1900     -220 -82 -274     18 5 23 
 -1577 -720 -2161     -228 -100 -303     17 8 25 
 -1215 1584 1974     -178 226 278     17 -15 -22 
 -3480 -170 1515     -499 -19 213     38 -1 -14 
 -2436 -111 -929     -353 -14 -128     25 0 14 
 2047 1023 -2117     292 149 -304     -21 -10 21 
 1510 -3054 336     224 -436 55     -12 35 -2 
 -2860 74 1242     -408 10 177     29 -2 -11 
 423 2218 -2064     56 316 -290     -1 -23 19 
 -1523 391 2820     -216 54 401     16 -3 -25 
 2150 822 -2210     305 114 -314     -21 -10 22 
 980 -2578 716     140 -368 106     -13 25 -13 
 -2221 -1430 671     -319 -202 91     29 20 -6 
 71 585 -2438     13 84 -348     0 1 24 
 -2243 -2418 -28     -320 -339 -10     22 23 0 
 -1990 1907 1046     -283 274 147     14 -22 -10 
 646 -563 -2987     96 -80 -426     -6 11 28 
 1124 -2386 -2399     166 -340 -342     -12 28 23 
 1269 -527 -2292     184 -75 -331     -12 2 24 
 -1031 2489 -962     -147 354 -138     13 -21 14 
 723 -2658 -127     105 -380 -14     -6 27 2 
 2 1922 2219     0 278 321     3 -18 -23 
 -2842 1751 -150     -408 256 -21     26 -17 -4 
 45 -2950 -602     9 -419 -87     3 29 6 
 -1231 -1203 -2120     -176 -172 -302     8 13 18 
 1637 -356 -1921     234 -56 -273     -14 1 18 
 -1712 -1611 -1495     -246 -229 -213     16 22 14 
 3521 152 -943     503 23 -134     -35 6 7 
 -2104 -2243 -337     -302 -320 -51     19 23 3 
 2358 -595 -1456     336 -91 -213     -22 8 14 
 -525 -1627 2776     -69 -232 399     0 14 -32 
 1648 963 -1620     238 134 -231     -12 -6 15 
 -2751 363 -551     -391 54 -79     24 -3 9 
 300 1792 2155     47 251 307     -6 -17 -16 
 1106 -214 -2291     156 -35 -325     -3 0 23 
 -1964 -795 -2331     -286 -111 -333     19 15 18 
 137 -3166 -572     21 -452 -82     0 30 3 
 -2691 705 -999     -388 98 -139     26 -9 10 
 1203 343 -3272     174 54 -469     -12 2 32 
 3115 -432 -66     447 -61 -3     -30 4 0 
 2562 -1744 862     367 -252 123     -23 17 -5 
 1380 -1281 1622     196 -177 230     -17 9 -14 
 -1200 -844 -2301     -173 -120 -328     15 15 20 
 -792 -1599 2552     -111 -231 367     7 17 -25 
 307 2585 -1745     46 361 -252     -2 -32 17 
 -199 -1278 -2273     -26 -186 -327     1 17 22 
 1870 -2159 -899     264 -314 -123     -18 22 6 
 434 1298 2381     63 185 337     -4 -11 -23 
 -2150 -2011 1077     -311 -289 157     15 22 -10 
 2355 -966 31     334 -136 2     -21 13 1 
 880 2467 1228     131 350 176     -10 -18 -9 
 2696 301 951     383 47 138     -29 -3 -10 
 50 1466 2481     4 210 354     0 -13 -21 
 -46 1414 2588     -3 203 369     2 -15 -22 
 -1343 790 2128     -191 114 306     17 -8 -19 
 -1893 -320 1958     -271 -46 278     18 1 -19 
 3013 80 1731     433 10 244     -30 0 -12 
 -1561 -2177 -1020     -227 -314 -145     16 26 16 
 -1230 2247 -501     -169 320 -71     14 -22 4 
 527 -2245 1744     67 -319 248     -6 21 -17 
 -1513 -166 -2981     -211 -28 -425     15 0 29 
 440 -823 2548     63 -116 364     -4 10 -24 
 -1545 -2022 350     -217 -285 51     19 18 -6 
 -1920 -2099 1374     -271 -304 197     18 21 -12 
 -1984 2245 966     -283 325 138     22 -22 -5 
 1286 1145 1885     186 163 271     -7 -11 -18 
 -2077 -1678 1117     -294 -243 156     24 17 -9 
 -65 3081 988     -9 440 141     -1 -33 -13 
 1372 -2516 92     198 -361 17     -13 23 0 
 574 -2894 -2168     82 -413 -309     -1 28 22 
 2843 -746 1072     408 -108 156     -26 5 -8 
 -2673 2015 -608     -380 287 -87     29 -14 5 
 -1103 -1722 -1992     -157 -247 -289     14 19 18 
 -619 528 -2863     -88 75 -410     5 -7 28 
 -1977 2190 1193     -282 311 167     17 -19 -13 
 860 -3029 253     123 -433 41     -8 33 -2 
 -1719 1295 -1775     -245 183 -250     13 -13 19 
 -2978 1898 -292     -428 271 -47     30 -18 2 
 565 1062 -2232     80 152 -315     -4 -10 28 
 -1305 1305 -2694     -183 186 -382     14 -14 26 
 -2484 -273 -1989     -359 -35 -283     23 4 18 
 1136 -1048 -2857     166 -150 -410     -9 9 30 
 -442 2206 2090     -64 315 301     4 -22 -14 
 -23 2898 224     -3 412 30     0 -26 1 
 2138 959 -1982     306 140 -283     -19 -9 17 
 -1618 1775 -1360     -231 253 -191     22 -18 12 
 692 1924 -2492     99 278 -361     -6 -17 28 
 -1023 2364 -1752     -142 340 -247     10 -19 19 
 -1750 -2698 1145     -246 -382 167     17 25 -11 
 3258 1100 -180     470 158 -26     -32 -13 0 
 -1915 -679 -2235     -273 -97 -323     21 9 24 
 -1104 -2081 -786     -155 -297 -113     11 22 10 
 -2858 -640 -706     -406 -90 -100     29 5 4 
 712 1716 -1986     102 248 -284     -7 -17 19 
 832 2700 -390     120 385 -55     -5 -26 3 
 1587 -619 2627     223 -84 375     -17 4 -28 
 2298 470 2118     325 62 302     -16 -8 -19 
 -2057 -1407 -2233     -288 -204 -317     25 14 26 
 -112 -62 2758     -13 -5 397     1 -2 -23 
 -211 -2054 2162     -32 -291 309     6 20 -24 
 2083 836 1594     299 118 228     -18 -8 -17 
 -530 2090 1973     -76 302 278     4 -26 -24 
 -1080 1942 -1900     -158 279 -272     6 -19 19 
 -2074 1278 1789     -301 186 250     14 -11 -18 
 -520 2504 414     -74 354 60     -2 -25 -7 
 -1176 -2282 -1591     -170 -326 -228     16 15 15 
 102 2968 990     12 427 146     -7 -32 -10 
 -2709 1659 -316     -389 241 -39     31 -9 1 
 -2290 1919 773     -329 275 105     22 -16 -12 
 615 482 3245     85 69 463     -10 0 -27 
 1234 2456 -1243     178 346 -177     -9 -21 9 
 1114 1679 1730     164 240 248     -12 -15 -17 
 -1422 1522 -1711     -208 209 -244     9 -15 21 
 2007 -1374 485     285 -201 69     -22 17 -4 
 -12 2520 544     -1 362 74     0 -26 -10 
 -474 -1923 2315     -67 -270 334     2 18 -21 
 1517 -2248 -418     216 -314 -59     -14 22 3 
 1118 2532 -1334     159 361 -189     -12 -25 13 
 -1489 -1372 -2353     -219 -200 -337     15 18 21 
 1056 25 -2775     149 1 -398     -17 0 27 
 -2726 1082 -1224     -389 153 -169     27 -7 12 
 751 608 -2592     102 88 -374     -6 -7 24 
 1945 2317 -136     276 331 -18     -23 -24 4 
 -3253 69 -228     -462 11 -36     36 0 -1 
 1255 -2938 -313     183 -419 -45     -8 26 7 
 -2646 2011 -797     -380 287 -109     25 -21 2 
 50 -1406 -2557     5 -198 -362     6 15 24 
 348 -1005 2940     51 -140 420     -2 7 -29 
 -672 2846 -1419     -97 402 -207     6 -28 11 
 2859 1440 -24     408 201 -9     -27 -21 2 
 2157 -1843 429     313 -263 61     -22 19 -4 
 45 -1064 2940     6 -158 419     1 12 -29 
 1730 987 -1830     247 143 -264     -19 -7 17 
 -1122 -1149 2253     -165 -161 322     12 11 -25 
 2676 -601 -785     380 -86 -115     -30 5 8 
 2435 -555 -1288     348 -80 -183     -24 6 12 
 1305 -81 2894     185 -10 413     -13 -4 -30 
 954 -2008 1396     140 -292 199     -9 25 -10 
 -133 2590 984     -19 374 140     0 -23 -10 
 1389 -2086 -2054     194 -296 -293     -16 18 19 
 -296 -2831 566     -37 -404 82     -2 24 1 
 -2569 -802 -1287     -369 -113 -183     28 10 10 
 -1886 1812 -2154     -266 255 -307     15 -17 26 
 -1719 -1231 1420     -244 -174 204     20 14 -18 
 -2888 -1394 1274     -412 -202 183     28 13 -14 
 1984 1660 1284     287 237 179     -19 -18 -16 
 -41 200 2573     -4 31 370     -1 -2 -25 
 -3016 34 -1363     -429 1 -190     31 -5 13 
 -1286 -763 2011     -183 -107 287     11 1 -21 
 -1848 1908 -618     -265 274 -87     19 -22 11 
 -688 2384 -207     -98 336 -29     7 -22 0 
 281 847 -2885     40 121 -412     -1 -11 25 
 192 -2453 -1601     31 -355 -222     -1 24 17 
 491 2203 2548     68 315 367     -5 -21 -28 
 -2321 -624 -555     -336 -90 -81     23 6 -1 
 -432 -3152 -213     -63 -450 -31     -2 31 1 
 -1867 1915 -782     -266 270 -110     22 -19 7 
 -892 -2127 -2359     -122 -311 -337     5 25 26 
 -941 2518 -1279     -140 360 -182     10 -25 11 
 1469 340 -3429     209 48 -490     -13 0 38 
 673 3163 673     101 451 95     -8 -34 -1 
 800 1337 2614     114 193 371     -2 -15 -24 
 1261 1722 -2285     179 249 -326     -14 -19 19 
 1473 -2386 -1740     210 -340 -248     -13 21 17 
 1905 2345 936     269 330 128     -21 -27 -8 
 -9 -2986 506     2 -426 74     0 29 -4 
 1104 2001 1666     158 286 238     -11 -20 -14 
 -497 -2214 2033     -66 -314 293     5 22 -13 
 209 -2513 -1928     29 -361 -273     -3 23 23 
 3148 -137 -45     452 -16 -6     -34 1 1 
 -738 -382 3098     -105 -51 440     8 2 -30 
 1401 2701 793     200 387 112     -11 -26 -11 
 -2116 -937 -1839     -303 -136 -266     19 9 20 
 686 -763 -3088     104 -117 -443     -6 10 27 
 -1078 -2695 1808     -150 -381 252     7 28 -22 
 -1664 -680 2702     -238 -102 384     19 8 -26 
 -2971 -700 1101     -431 -98 157     25 6 -11 
 -403 -2013 -1424     -57 -286 -197     -1 18 14 
 -248 -2160 -1597     -35 -308 -228     3 22 15 
 -1239 983 -1956     -175 136 -272     12 -11 20 
 1358 2352 2015     192 333 283     -8 -18 -14 
 -513 -2703 -1005     -72 -384 -140     3 26 14 
 1677 2614 -393     239 372 -55     -15 -26 2 
 568 -2323 1735     77 -333 241     -4 20 -10 
 2487 1279 -308     353 188 -42     -24 -12 9 
 1009 316 2729     136 46 389     -7 -7 -26 
 2442 -775 2407     345 -111 344     -25 7 -21 
 -936 2174 2023     -134 305 289     12 -18 -18 
 -731 -714 -2746     -104 -100 -390     0 5 30 
 422 -3337 -414     63 -477 -61     -4 31 4 
 1873 1735 -1252     270 244 -174     -22 -15 15 
 -2135 -1673 -1094     -306 -239 -155     21 18 13 
 -327 -2234 1998     -44 -322 283     1 22 -22 
 1599 722 1794     228 102 260     -16 -7 -17 
 749 -3446 -111     114 -490 -13     -9 35 1 
